x;y
0.0732874;2.81241
0.0730367;2.81334
0.0727867;2.81428
0.0725374;2.81523
0.0722888;2.81618
0.0720408;2.81713
0.0717936;2.81809
0.071547;2.81905
0.0713011;2.82002
0.0710559;2.82099
0.0708113;2.82196
0.0705675;2.82295
0.0703243;2.82393
0.0700818;2.82492
0.06984;2.82592
0.0695989;2.82691
0.0693585;2.82792
0.0691187;2.82893
0.0688796;2.82994
0.0686412;2.83095
0.0684035;2.83197
0.0681664;2.833
0.0679301;2.83403
0.0676944;2.83506
0.0674594;2.8361
0.067225;2.83714
0.0669914;2.83819
0.0667584;2.83924
0.0665261;2.84029
0.0662944;2.84135
0.0660635;2.84242
0.0658332;2.84348
0.0656036;2.84456
0.0653746;2.84563
0.0651463;2.84671
0.0649187;2.84779
0.0646918;2.84888
0.0644655;2.84997
0.0642399;2.85107
0.064015;2.85217
0.0637908;2.85327
0.0635672;2.85438
0.0633442;2.85549
0.063122;2.8566
0.0629004;2.85772
0.0626794;2.85884
0.0624591;2.85997
0.0622395;2.8611
0.0620206;2.86223
0.0618023;2.86337
0.0615846;2.86451
0.0613677;2.86565
0.0611513;2.8668
0.0609357;2.86795
0.0607206;2.86911
0.0605063;2.87027
0.0602926;2.87143
0.0600795;2.8726
0.0598671;2.87377
0.0596554;2.87494
0.0594443;2.87612
0.0592338;2.8773
0.059024;2.87848
0.0588148;2.87967
0.0586063;2.88086
0.0583984;2.88205
0.0581912;2.88325
0.0579846;2.88445
0.0577786;2.88566
0.0575733;2.88687
0.0573686;2.88808
0.0571646;2.88929
0.0569612;2.89051
0.0567584;2.89173
0.0565563;2.89296
0.0563547;2.89418
0.0561539;2.89542
0.0559536;2.89665
0.055754;2.89789
0.055555;2.89913
0.0553566;2.90037
0.0551589;2.90162
0.0549618;2.90287
0.0547653;2.90412
0.0545694;2.90538
0.0543742;2.90664
0.0541795;2.9079
0.0539855;2.90917
0.0537921;2.91044
0.0535993;2.91171
0.0534072;2.91298
0.0532156;2.91426
0.0530247;2.91554
0.0528343;2.91683
0.0526446;2.91811
0.0524555;2.91941
0.052267;2.9207
0.0520791;2.92199
0.0518918;2.92329
0.0517051;2.9246
0.051519;2.9259
0.0513335;2.92721
0.0511486;2.92852
0.0509643;2.92983
0.0507806;2.93115
0.0505975;2.93247
0.0504149;2.93379
0.050233;2.93511
0.0500517;2.93644
0.0498709;2.93777
0.0496908;2.93911
0.0495112;2.94044
0.0493322;2.94178
0.0491538;2.94312
0.048976;2.94447
0.0487987;2.94581
0.0486221;2.94716
0.048446;2.94852
0.0482705;2.94987
0.0480956;2.95123
0.0479212;2.95259
0.0477474;2.95395
0.0475742;2.95532
0.0474016;2.95669
0.0472295;2.95806
0.047058;2.95943
0.0468871;2.96081
0.0467167;2.96219
0.0465469;2.96357
0.0463776;2.96495
0.046209;2.96634
0.0460408;2.96773
0.0458733;2.96912
0.0457062;2.97051
0.0455398;2.97191
0.0453739;2.97331
0.0452085;2.97471
0.0450437;2.97611
0.0448795;2.97752
0.0447158;2.97893
0.0445526;2.98034
0.04439;2.98175
0.0442279;2.98317
0.0440664;2.98459
0.0439054;2.98601
0.043745;2.98743
0.0435851;2.98886
0.0434257;2.99029
0.0432669;2.99172
0.0431086;2.99315
0.0429508;2.99458
0.0427935;2.99602
0.0426368;2.99746
0.0424807;2.9989
0.042325;3.00035
0.0421699;3.00179
0.0420153;3.00324
0.0418612;3.00469
0.0417076;3.00615
0.0415546;3.0076
0.0414021;3.00906
0.0412501;3.01052
0.0410986;3.01198
0.0409476;3.01345
0.0407972;3.01492
0.0406472;3.01639
0.0404978;3.01786
0.0403488;3.01933
0.0402004;3.02081
0.0400525;3.02228
0.0399051;3.02376
0.0397582;3.02525
0.0396118;3.02673
0.0394659;3.02822
0.0393205;3.02971
0.0391755;3.0312
0.0390311;3.03269
0.0388872;3.03418
0.0387438;3.03568
0.0386009;3.03718
0.0384584;3.03868
0.0383165;3.04018
0.038175;3.04169
0.038034;3.0432
0.0378935;3.04471
0.0377535;3.04622
0.037614;3.04773
0.0374749;3.04925
0.0373364;3.05076
0.0371983;3.05228
0.0370606;3.0538
0.0369235;3.05533
0.0367868;3.05685
0.0366507;3.05838
0.0365149;3.05991
0.0363797;3.06144
0.0362449;3.06297
0.0361106;3.06451
0.0359767;3.06604
0.0358433;3.06758
0.0357104;3.06912
0.035578;3.07067
0.035446;3.07221
0.0353144;3.07376
0.0351833;3.07531
0.0350527;3.07686
0.0349225;3.07841
0.0347928;3.07996
0.0346635;3.08152
0.0345347;3.08308
0.0344064;3.08464
0.0342784;3.0862
0.034151;3.08776
0.0340239;3.08933
0.0338974;3.09089
0.0337712;3.09246
0.0336455;3.09403
0.0335203;3.0956
0.0333954;3.09718
0.0332711;3.09875
0.0331471;3.10033
0.0330236;3.10191
0.0329005;3.10349
0.0327779;3.10508
0.0326557;3.10666
0.0325339;3.10825
0.0324125;3.10984
0.0322916;3.11143
0.0321711;3.11302
0.032051;3.11461
0.0319313;3.11621
0.0318121;3.1178
0.0316933;3.1194
0.0315749;3.121
0.0314569;3.1226
0.0313394;3.12421
0.0312222;3.12581
0.0311055;3.12742
0.0309892;3.12903
0.0308732;3.13064
0.0307577;3.13225
0.0306427;3.13386
0.030528;3.13548
0.0304137;3.13709
0.0302998;3.13871
0.0301864;3.14033
0.0300733;3.14195
0.0299606;3.14358
0.0298484;3.1452
0.0297365;3.14683
0.029625;3.14846
0.029514;3.15009
0.0294033;3.15172
0.029293;3.15335
0.0291831;3.15499
0.0290736;3.15662
0.0289645;3.15826
0.0288558;3.1599
0.0287474;3.16154
0.0286395;3.16318
0.0285319;3.16482
0.0284248;3.16647
0.028318;3.16812
0.0282116;3.16976
0.0281055;3.17141
0.0279999;3.17307
0.0278946;3.17472
0.0277897;3.17637
0.0276852;3.17803
0.027581;3.17969
0.0274772;3.18134
0.0273738;3.183
0.0272708;3.18467
0.0271681;3.18633
0.0270658;3.18799
0.0269639;3.18966
0.0268623;3.19133
0.0267611;3.193
0.0266603;3.19467
0.0265598;3.19634
0.0264597;3.19801
0.0263599;3.19969
0.0262606;3.20136
0.0261615;3.20304
0.0260628;3.20472
0.0259645;3.2064
0.0258665;3.20808
0.0257689;3.20977
0.0256716;3.21145
0.0255747;3.21314
0.0254782;3.21482
0.0253819;3.21651
0.0252861;3.2182
0.0251905;3.21989
0.0250954;3.22159
0.0250005;3.22328
0.024906;3.22498
0.0248119;3.22667
0.0247181;3.22837
0.0246246;3.23007
0.0245314;3.23177
0.0244386;3.23348
0.0243462;3.23518
0.0242541;3.23688
0.0241623;3.23859
0.0240708;3.2403
0.0239797;3.24201
0.0238889;3.24372
0.0237984;3.24543
0.0237083;3.24714
0.0236184;3.24886
0.023529;3.25057
0.0234398;3.25229
0.0233509;3.25401
0.0232624;3.25573
0.0231742;3.25745
0.0230864;3.25917
0.0229988;3.26089
0.0229116;3.26262
0.0228246;3.26434
0.022738;3.26607
0.0226518;3.2678
0.0225658;3.26953
0.0224801;3.27126
0.0223948;3.27299
0.0223097;3.27472
0.022225;3.27646
0.0221406;3.27819
0.0220565;3.27993
0.0219727;3.28167
0.0218892;3.28341
0.021806;3.28515
0.0217231;3.28689
0.0216405;3.28863
0.0215582;3.29038
0.0214762;3.29212
0.0213946;3.29387
0.0213132;3.29562
0.0212321;3.29736
0.0211513;3.29911
0.0210708;3.30087
0.0209906;3.30262
0.0209107;3.30437
0.0208311;3.30613
0.0207518;3.30788
0.0206727;3.30964
0.020594;3.3114
0.0205155;3.31316
0.0204374;3.31492
0.0203595;3.31668
0.0202819;3.31844
0.0202046;3.32021
0.0201276;3.32197
0.0200508;3.32374
0.0199744;3.32551
0.0198982;3.32727
0.0198223;3.32904
0.0197467;3.33081
0.0196713;3.33259
0.0195963;3.33436
0.0195215;3.33613
0.019447;3.33791
0.0193727;3.33968
0.0192988;3.34146
0.0192251;3.34324
0.0191516;3.34502
0.0190785;3.3468
0.0190056;3.34858
0.018933;3.35037
0.0188606;3.35215
0.0187886;3.35393
0.0187168;3.35572
0.0186452;3.35751
0.0185739;3.3593
0.0185029;3.36109
0.0184322;3.36288
0.0183617;3.36467
0.0182914;3.36646
0.0182214;3.36825
0.0181517;3.37005
0.0180823;3.37184
0.0180131;3.37364
0.0179441;3.37544
0.0178754;3.37724
0.017807;3.37904
0.0177388;3.38084
0.0176709;3.38264
0.0176032;3.38444
0.0175358;3.38624
0.0174686;3.38805
0.0174016;3.38985
0.017335;3.39166
0.0172685;3.39347
0.0172023;3.39528
0.0171364;3.39709
0.0170707;3.3989
0.0170052;3.40071
0.01694;3.40252
0.0168751;3.40434
0.0168103;3.40615
0.0167458;3.40797
0.0166816;3.40978
0.0166176;3.4116
0.0165538;3.41342
0.0164903;3.41524
0.016427;3.41706
0.0163639;3.41888
0.0163011;3.4207
0.0162385;3.42253
0.0161761;3.42435
0.016114;3.42618
0.0160521;3.428
0.0159904;3.42983
0.015929;3.43166
0.0158678;3.43349
0.0158068;3.43532
0.015746;3.43715
0.0156855;3.43898
0.0156252;3.44082
0.0155651;3.44265
0.0155052;3.44448
0.0154456;3.44632
0.0153862;3.44816
0.015327;3.44999
0.015268;3.45183
0.0152093;3.45367
0.0151508;3.45551
0.0150925;3.45735
0.0150344;3.45919
0.0149765;3.46104
0.0149188;3.46288
0.0148614;3.46473
0.0148042;3.46657
0.0147471;3.46842
0.0146903;3.47027
0.0146338;3.47211
0.0145774;3.47396
0.0145212;3.47581
0.0144653;3.47766
0.0144095;3.47952
0.014354;3.48137
0.0142986;3.48322
0.0142435;3.48508
0.0141886;3.48693
0.0141339;3.48879
0.0140794;3.49065
0.0140251;3.4925
0.013971;3.49436
0.0139171;3.49622
0.0138634;3.49808
0.0138099;3.49994
0.0137566;3.50181
0.0137035;3.50367
0.0136506;3.50553
0.0135979;3.5074
0.0135454;3.50926
0.0134931;3.51113
0.013441;3.513
0.0133891;3.51487
0.0133374;3.51673
0.0132859;3.5186
0.0132346;3.52047
0.0131834;3.52235
0.0131325;3.52422
0.0130818;3.52609
0.0130312;3.52796
0.0129808;3.52984
0.0129306;3.53171
0.0128807;3.53359
0.0128309;3.53547
0.0127812;3.53735
0.0127318;3.53922
0.0126826;3.5411
0.0126335;3.54298
0.0125847;3.54487
0.012536;3.54675
0.0124875;3.54863
0.0124391;3.55051
0.012391;3.5524
0.012343;3.55428
0.0122953;3.55617
0.0122477;3.55805
0.0122003;3.55994
0.012153;3.56183
0.012106;3.56372
0.0120591;3.56561
0.0120124;3.5675
0.0119658;3.56939
0.0119195;3.57128
0.0118733;3.57317
0.0118273;3.57507
0.0117815;3.57696
0.0117358;3.57886
0.0116903;3.58075
0.011645;3.58265
0.0115999;3.58455
0.0115549;3.58645
0.0115101;3.58834
0.0114655;3.59024
0.011421;3.59214
0.0113767;3.59404
0.0113326;3.59595
0.0112886;3.59785
0.0112448;3.59975
0.0112012;3.60166
0.0111577;3.60356
0.0111144;3.60547
0.0110713;3.60737
0.0110283;3.60928
0.0109855;3.61119
0.0109429;3.61309
0.0109004;3.615
0.0108581;3.61691
