x;y
0.367805;0.979408
0.367826;0.982944
0.367846;0.986479
0.367862;0.990015
0.367872;0.99355
0.367878;0.997086
0.36788;1.00062
0.367877;1.00416
0.367869;1.00769
0.367857;1.01123
0.36784;1.01476
0.367824;1.0183
0.367794;1.02184
0.367764;1.02537
0.367729;1.02891
0.36769;1.03245
0.367647;1.03598
0.3676;1.03952
0.367549;1.04305
0.367493;1.04659
0.367433;1.05012
0.367369;1.05366
0.367301;1.05719
0.367228;1.06073
0.367152;1.06426
0.367072;1.0678
0.366987;1.07133
0.366899;1.07487
0.366807;1.0784
0.36671;1.08194
0.36661;1.08547
0.366506;1.08901
0.366399;1.09254
0.366287;1.09608
0.366172;1.09961
0.366052;1.10315
0.36593;1.10668
0.365803;1.11021
0.365673;1.11375
0.365539;1.11728
0.365402;1.12082
0.365261;1.12435
0.365116;1.12789
0.364968;1.13142
0.364817;1.13495
0.364662;1.13849
0.364503;1.14202
0.364341;1.14555
0.364176;1.14909
0.364007;1.15262
0.363835;1.15616
0.36366;1.15969
0.363481;1.16322
0.3633;1.16675
0.363115;1.17029
0.362926;1.17382
0.362735;1.17735
0.36254;1.18089
0.362342;1.18442
0.362142;1.18795
0.361938;1.19148
0.361731;1.19502
0.361521;1.19855
0.361307;1.20208
0.361091;1.20561
0.360872;1.20915
0.36065;1.21268
0.360426;1.21621
0.360198;1.21974
0.359967;1.22327
0.359734;1.22681
0.359498;1.23034
0.359258;1.23387
0.359017;1.2374
0.358772;1.24093
0.358525;1.24446
0.358275;1.24799
0.358022;1.25152
0.357766;1.25506
0.357508;1.25859
0.357248;1.26212
0.356985;1.26565
0.356719;1.26918
0.35645;1.27271
0.356179;1.27624
0.355906;1.27977
0.35563;1.2833
0.355352;1.28683
0.355071;1.29036
0.354788;1.29389
0.354502;1.29742
0.354214;1.30095
0.353924;1.30448
0.353631;1.30801
0.353336;1.31154
0.353038;1.31507
0.352739;1.3186
0.352437;1.32212
0.352133;1.32565
0.351826;1.32918
0.351518;1.33271
0.351207;1.33624
0.350894;1.33977
0.350579;1.3433
0.350262;1.34683
0.349942;1.35035
0.349621;1.35388
0.349298;1.35741
0.348972;1.36094
0.348645;1.36447
0.348315;1.36799
0.347983;1.37152
0.34765;1.37505
0.347315;1.37858
0.346977;1.3821
0.346638;1.38563
0.346297;1.38916
0.345953;1.39269
0.345608;1.39621
0.345262;1.39974
0.344913;1.40327
0.344562;1.40679
0.34421;1.41032
0.343856;1.41385
0.3435;1.41737
0.343143;1.4209
0.342783;1.42443
0.342422;1.42795
0.34206;1.43148
0.341695;1.43501
0.341329;1.43853
0.340961;1.44206
0.340592;1.44558
0.340221;1.44911
0.339848;1.45264
0.339474;1.45616
0.339099;1.45969
0.338721;1.46321
0.338343;1.46674
0.337962;1.47026
0.33758;1.47379
0.337197;1.47731
0.336812;1.48084
0.336426;1.48436
0.336038;1.48789
0.335649;1.49141
0.335259;1.49494
0.334867;1.49846
0.334474;1.50199
0.334079;1.50551
0.333683;1.50904
0.333285;1.51256
0.332887;1.51608
0.332487;1.51961
0.332085;1.52313
0.331683;1.52666
0.331279;1.53018
0.330874;1.5337
0.330468;1.53723
0.33006;1.54075
0.329651;1.54428
0.329241;1.5478
0.32883;1.55132
0.328418;1.55485
0.328004;1.55837
0.327589;1.56189
0.327174;1.56542
0.326757;1.56894
0.326339;1.57246
0.32592;1.57599
0.325499;1.57951
0.325078;1.58303
0.324656;1.58655
0.324232;1.59008
0.323808;1.5936
0.323383;1.59712
0.322956;1.60065
0.322529;1.60417
0.322101;1.60769
0.321671;1.61121
0.321241;1.61474
0.32081;1.61826
0.320377;1.62178
0.319944;1.6253
0.31951;1.62883
0.319075;1.63235
0.31864;1.63587
0.318203;1.63939
0.317765;1.64291
0.317327;1.64644
0.316888;1.64996
0.316448;1.65348
0.316007;1.657
0.315565;1.66052
0.315123;1.66404
0.31468;1.66757
0.314236;1.67109
0.313791;1.67461
0.313345;1.67813
0.312899;1.68165
0.312452;1.68517
0.312004;1.68869
0.311556;1.69222
0.311107;1.69574
0.310657;1.69926
0.310206;1.70278
0.309755;1.7063
0.309304;1.70982
0.308851;1.71334
0.308398;1.71686
0.307944;1.72038
0.30749;1.72391
0.307035;1.72743
0.30658;1.73095
0.306123;1.73447
0.305667;1.73799
0.305209;1.74151
0.304752;1.74503
0.304293;1.74855
0.303834;1.75207
0.303375;1.75559
0.302915;1.75911
0.302455;1.76263
0.301994;1.76615
0.301532;1.76967
0.30107;1.77319
0.300608;1.77671
0.300145;1.78023
0.299682;1.78376
0.299218;1.78728
0.298754;1.7908
0.298289;1.79432
0.297824;1.79784
0.297359;1.80136
0.296893;1.80488
0.296427;1.8084
0.29596;1.81192
0.295493;1.81544
0.295025;1.81896
0.294558;1.82248
0.29409;1.826
0.293621;1.82952
0.293152;1.83304
0.292683;1.83656
0.292214;1.84008
0.291744;1.8436
0.291274;1.84712
0.290804;1.85064
0.290333;1.85416
0.289862;1.85768
0.289391;1.8612
0.28892;1.86472
0.288448;1.86824
0.287976;1.87176
0.287504;1.87527
0.287031;1.87879
0.286559;1.88231
0.286086;1.88583
0.285613;1.88935
0.285139;1.89287
0.284666;1.89639
0.284192;1.89991
0.283718;1.90343
0.283244;1.90695
0.28277;1.91047
0.282296;1.91399
0.281821;1.91751
0.281346;1.92103
0.280872;1.92455
0.280397;1.92807
0.279922;1.93159
0.279446;1.93511
0.278971;1.93863
0.278496;1.94215
0.27802;1.94567
0.277544;1.94919
0.277069;1.95271
0.276593;1.95623
0.276117;1.95974
0.275641;1.96326
0.275165;1.96678
0.274689;1.9703
0.274213;1.97382
0.273737;1.97734
0.273261;1.98086
0.272784;1.98438
0.272308;1.9879
0.271832;1.99142
0.271355;1.99494
0.270879;1.99846
0.270403;2.00198
0.269927;2.0055
0.26945;2.00902
0.268974;2.01254
0.268498;2.01606
0.268021;2.01958
0.267545;2.0231
0.267069;2.02661
0.266593;2.03013
0.266117;2.03365
0.265641;2.03717
0.265165;2.04069
0.264689;2.04421
0.264213;2.04773
0.263737;2.05125
0.263262;2.05477
0.262786;2.05829
0.262311;2.06181
0.261835;2.06533
0.26136;2.06885
0.260885;2.07237
0.26041;2.07589
0.259935;2.07941
0.25946;2.08293
0.258985;2.08645
0.258511;2.08997
0.258036;2.09349
0.257562;2.097
0.257088;2.10052
0.256614;2.10404
0.25614;2.10756
0.255666;2.11108
0.255193;2.1146
0.254719;2.11812
0.254246;2.12164
0.253773;2.12516
0.2533;2.12868
0.252828;2.1322
0.252355;2.13572
0.251883;2.13924
0.251411;2.14276
0.250939;2.14628
0.250468;2.1498
0.249996;2.15332
0.249525;2.15684
0.249054;2.16036
0.248583;2.16388
0.248113;2.1674
0.247643;2.17092
0.247173;2.17444
0.246703;2.17796
0.246233;2.18148
0.245764;2.185
0.245295;2.18852
0.244826;2.19204
0.244358;2.19556
0.243889;2.19908
0.243421;2.2026
0.242954;2.20612
0.242486;2.20964
0.242019;2.21316
0.241552;2.21668
0.241086;2.2202
0.24062;2.22372
0.240154;2.22724
0.239688;2.23076
0.239223;2.23428
0.238758;2.2378
0.238293;2.24132
0.237828;2.24484
0.237364;2.24836
0.2369;2.25188
0.236437;2.2554
0.235974;2.25892
0.235511;2.26244
0.235049;2.26596
0.234586;2.26948
0.234125;2.273
0.233663;2.27652
0.233202;2.28004
0.232741;2.28356
0.232281;2.28708
0.231821;2.29061
0.231361;2.29413
0.230902;2.29765
0.230443;2.30117
0.229985;2.30469
0.229526;2.30821
0.229069;2.31173
0.228611;2.31525
0.228154;2.31877
0.227698;2.32229
0.227241;2.32581
0.226785;2.32933
0.22633;2.33285
0.225875;2.33637
0.22542;2.3399
0.224966;2.34342
0.224512;2.34694
0.224058;2.35046
0.223605;2.35398
0.223153;2.3575
0.222701;2.36102
0.222249;2.36454
0.221797;2.36806
0.221346;2.37158
0.220896;2.37511
0.220446;2.37863
0.219996;2.38215
0.219547;2.38567
0.219098;2.38919
0.21865;2.39271
0.218202;2.39623
0.217754;2.39975
0.217307;2.40328
0.216861;2.4068
0.216414;2.41032
0.215969;2.41384
0.215524;2.41736
0.215079;2.42088
0.214634;2.4244
0.214191;2.42793
0.213747;2.43145
0.213304;2.43497
0.212862;2.43849
0.21242;2.44201
0.211978;2.44553
0.211537;2.44906
0.211097;2.45258
0.210657;2.4561
0.210217;2.45962
0.209778;2.46314
0.209339;2.46667
0.208901;2.47019
0.208464;2.47371
0.208026;2.47723
